date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:50	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:51%20GMT	https://www.aprendekids.com/e.url,window.location.origin	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/e.url,window.location.origin	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:50	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:51%20GMT	https://www.aprendekids.com/e,t	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/e,t	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:50	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:52%20GMT	https://www.aprendekids.com/e	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/e	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:51	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:52%20GMT	https://www.aprendekids.com/t	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/t	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:51	229645/229645	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2004:17:53%20GMT	https://www.aprendekids.com/e,a(t	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/e,a(t	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:52	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%222d4a367c16d380a2a5cca0aa2bbf0351%22	https://connect.facebook.net/en_US/sdk.js	C:/Mis%20lugares%20Web/clonacion/connect.facebook.net/en_US/sdk.js	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:53	165949/165949	---MCZ	200	added ('OK')	application/javascript	etag:W/%22913e51147c6066590067e699e04b2027%22	https://js.xendit.co/v1/xendit.min.js	C:/Mis%20lugares%20Web/clonacion/js.xendit.co/v1/xendit.min.js	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:54	883331/883331	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266b24e07-d7a83%22	https://www.paypalobjects.com/api/checkout.min.js	C:/Mis%20lugares%20Web/clonacion/www.paypalobjects.com/api/checkout.min.js	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:57	177641/177641	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cc6a10431c8aea6292744348b3e7112%22	https://checkout.razorpay.com/v1/checkout.js	C:/Mis%20lugares%20Web/clonacion/checkout.razorpay.com/v1/checkout.js	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:17:59	526/526	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:17:59%20GMT	https://www.aprendekids.com/P%c3%85%c2%99esm%c3%84%c2%9brovat%20na%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/P%c3%85%c2%99esm%c3%84%c2%9brovat%20na/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:00	434/434	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:18:01%20GMT	https://www.aprendekids.com/Omdiriger%20til%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/Omdiriger%20til/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:01	442/442	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:18:02%20GMT	https://www.aprendekids.com/Weiterleiten%20an%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/Weiterleiten%20an/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:02	34840/34840	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2020%20Mar%202025%2004:18:03%20GMT	https://www.aprendekids.com/%c3%8e%c2%91%c3%8e%c2%bd%c3%8e%c2%b1%c3%8e%c2%ba%c3%8e%c2%b1%c3%8f%c2%84%c3%8e%c2%b5%c3%8f%c2%8d%c3%8e%c2%b8%c3%8f%c2%85%c3%8e%c2%bd%c3%8f%c2%83%c3%8e%c2%b7%20%c3%8f%c2%83%c3%8f%c2%84%c3%8e%c2%bf%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/%c3%8e%c2%91%c3%8e%c2%bd%c3%8e%c2%b1%c3%8e%c2%ba%c3%8e%c2%b1%c3%8f%c2%84%c3%8e%c2%b5%c3%8f%c2%8d%c3%8e%c2%b8%c3%8f%c2%85%c3%8e%c2%bd%c3%8f%c2%83%c3%8e%c2%b7%20%c3%8f%c2%83%c3%8f%c2%84%c3%8e%c2%bf/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:03	426/426	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:18:03%20GMT	https://www.aprendekids.com/Redirect%20to%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/Redirect%20to/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:04	426/426	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:18:05%20GMT	https://www.aprendekids.com/Redirigir%20a%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/Redirigir%20a/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:04	542/542	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:18:05%20GMT	https://www.aprendekids.com/Oups%20!%20Une%20erreur%20est%20survenue%20:-/	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/Oups%20!%20Une%20erreur%20est%20survenue%20_-/index.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:05	438/438	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2020%20Mar%202025%2004:18:06%20GMT	https://www.aprendekids.com/Rediriger%20vers%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/Rediriger%20vers/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
23:18:06	34840/34840	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2020%20Mar%202025%2004:18:06%20GMT	https://www.aprendekids.com/%c3%a0%c2%a4%c2%b0%c3%a0%c2%a4%c2%bf%c3%a0%c2%a4%c2%a1%c3%a0%c2%a4%c2%be%c3%a0%c2%a4%c2%af%c3%a0%c2%a4%c2%b0%c3%a0%c2%a5%c2%87%c3%a0%c2%a4%c2%95%c3%a0%c2%a5%c2%8d%c3%a0%c2%a4%c2%9f%20%c3%a0%c2%a4%c2%95%c3%a0%c2%a4%c2%b0%c3%a0%c2%a5%c2%87%c3%a0%c2%a4%c2%82%20/?	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/%c3%a0%c2%a4%c2%b0%c3%a0%c2%a4%c2%bf%c3%a0%c2%a4%c2%a1%c3%a0%c2%a4%c2%be%c3%a0%c2%a4%c2%af%c3%a0%c2%a4%c2%b0%c3%a0%c2%a5%c2%87%c3%a0%c2%a4%c2%95%c3%a0%c2%a5%c2%8d%c3%a0%c2%a4%c2%9f%20%c3%a0%c2%a4%c2%95%c3%a0%c2%a4%c2%b0%c3%a0%c2%a5%c2%87%c3%a0%c2%a4%c2%82/indexd41d.html	(from https://d33vglzdi1uj1c.cloudfront.net/page.3e6d29427b1c139ac336.js)
